SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
.	274930	76213	3.60738981538583
A1BG	81	76175	0.00106334099113883
A1BG-AS1	12	76160	0.000157563025210084
A1CF	145	76116	0.0019049871249146
A2M	54	76175	0.00070889399409255
A2M-AS1	3	76153	3.93943771092406e-05
A2ML1	478	76141	0.00627782666368973
A2ML1-AS2	20	76008	0.000263130196821387
A2MP1	60	76154	0.000787877196207684
A3GALT2	229	76117	0.00300852634759646
A4GALT	21	76155	0.000275753397675793
A4GNT	361	76152	0.00474051896207585
AA06	3	76106	3.94187054897117e-05
AAAS	149	76165	0.00195627913083437
AACS	89	76163	0.00116854640704804
AACSP1	630	76158	0.00827227605766958
AADAC	570	76105	0.00748965245384666
AADACL2	79	76102	0.00103808047094689
AADACL2-AS1	4	76108	5.25568928364955e-05
AADACL3	46	76143	0.000604126446291846
AADACL4	40	76185	0.000525037737087353
AADACP1	8	76043	0.000105203634785582
AADAT	7	76090	9.19963201471941e-05
AAGAB	39	76154	0.000512120177534995
AAK1	5	76169	6.56435032624821e-05
AAMDC	598	76140	0.00785395324402417
AAMP	8	76180	0.000105014439485429
AANAT	8	76170	0.000105028226335828
AAR2	144	76178	0.00189030953818688
AARD	129	76151	0.00169400270515161
AARS1	44	76170	0.000577655244847053
AARS2	106	76187	0.00139131347867746
AARSD1	355	76177	0.00466019927274637
AASDH	145	76166	0.00190373657537484
AASDHPPT	34	76123	0.000446645560474495
AASS	58	76165	0.000761504628110024
AATBC	5	76108	6.56961160456194e-05
AATF	88	76151	0.00115559874459955
AATK	56	76154	0.000735352049793839
ABAT	9	76099	0.000118266994310043
ABCA1	115	76161	0.00150995916545213
ABCA10	1119	76183	0.0146883162910361
ABCA11P	2	76055	2.62967589244626e-05
ABCA12	115	76167	0.00150984021951764
ABCA13	1250	76178	0.0164089369634278
ABCA17P	43	76137	0.000564771398925621
ABCA2	23	76128	0.000302122740647331
ABCA3	38	76169	0.000498890624794864
ABCA4	117	76179	0.00153585633836097
ABCA5	269	76155	0.00353226971308516
ABCA6	1079	76176	0.0141645662675908
ABCA7	1207	76173	0.0158455095637562
ABCA8	925	76180	0.0121422945655028
ABCA9	481	76154	0.00631614885626494
ABCA9-AS1	320	76129	0.00420339161160662
ABCB1	33	76162	0.000433286940994197
ABCB10	76	76174	0.000997715756032242
ABCB11	67	76123	0.000880154486817388
ABCB4	76	76181	0.000997624079494887
ABCB5	1657	76160	0.0217568277310924
ABCB6	370	76187	0.00485647157651568
ABCB7	1	56106.5	1.78232468608806e-05
ABCB8	86	76172	0.00112902378826866
