SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
.	684062	730947	0.935857182531702
A1BG	682	730923	0.000933066820992088
A1BG-AS1	72	730907	9.85077444873288e-05
A1CF	433	730868	0.00059244624200266
A2M	673	730944	0.000920727169249628
A2M-AS1	3	76153	3.93943771092406e-05
A2ML1	6167	730947	0.00843700022026221
A2ML1-AS1	3	414884	7.23093684017701e-06
A2ML1-AS2	20	76008	0.000263130196821387
A2MP1	62	76154	0.000814139769414607
A3GALT2	1810	730695	0.00247709372583636
A4GALT	680	730766	0.000930530429713479
A4GNT	4473	730947	0.00611945872956589
AA06	3	76106	3.94187054897117e-05
AAAS	1054	730947	0.00144196501251117
AACS	794	730946	0.00108626355435285
AACSP1	679	722051	0.000940376787789228
AADAC	1003	730684	0.00137268641437338
AADACL2	1112	730867	0.00152148065243061
AADACL2-AS1	4	76108	5.25568928364955e-05
AADACL3	444	730946	0.000607432012761545
AADACL4	310	730947	0.000424107356620931
AADACP1	8	76043	0.000105203634785582
AADAT	107	730939	0.000146387044609742
AAGAB	556	730922	0.000760683082462971
AAK1	103	730849	0.000140931984582315
AAMDC	1023	730872	0.00139969789511707
AAMP	89	730943	0.00012176052031417
AANAT	61	730923	8.34561232852161e-05
AAR2	2297	730947	0.00314249870373639
AARD	1646	730854	0.00225215980209454
AARS1	502	730946	0.000686781239653819
AARS2	1013	730946	0.00138587529037713
AARSD1	1488	730947	0.00203571531178047
AASDH	3998	730943	0.00546964674400056
AASDHPPT	344	730929	0.000470633946662398
AASS	556	730947	0.000760657065423348
AATBC	5	76108	6.56961160456194e-05
AATF	1235	730947	0.0016895889852479
AATK	643	730474	0.000880250357986732
ABAT	147	730947	0.000201108972333151
ABCA1	1793	730947	0.00245298222716558
ABCA10	7827	730936	0.0107081878577605
ABCA11P	4	729084	5.48633627949592e-06
ABCA12	1101	730942	0.00150627546371668
ABCA13	11209	730853	0.0153368734889232
ABCA17P	85	727540	0.0001168320642164
ABCA2	270	730366	0.000369677668456637
ABCA3	402	730947	0.000549971475360047
ABCA4	1592	730947	0.00217799648948556
ABCA5	3074	730899	0.00420577945790048
ABCA6	3848	730940	0.00526445399075163
ABCA7	13186	730914	0.0180404260966406
ABCA8	5919	730943	0.00809775864875921
ABCA9	5264	730947	0.00720161653307285
